species_id	genome_name	genome_id	is_rep_genome	count_genomes	genus	species	pathogen	gram_profile
Bartonella_henselae_53943	Bartonella henselae str. Zeus	1134509.3	1	9	Bartonella	Bartonella henselae	1	n
Bartonella_quintana_55497	Bartonella quintana JK 31	1134506.3	1	14	Bartonella	Bartonella quintana	1	n
Borrelia_afzelii_54058	Borrelia afzelii ACA-1	445986.17	1	4	Borrelia	Borrelia afzelii	1	n
Borrelia_burgdorferi_56121	Borrelia burgdorferi Bol26	445984.3	1	23	Borrelia	Borrelia burgdorferi	1	n
Borrelia_garinii_57511	Borrelia garinii IPT89	139.73	1	17	Borrelia	Borrelia garinii	1	n
Brucella_abortus_57261	Brucella abortus bv. 1 str. B02-0237	35802.7	1	466	Brucella	Brucella abortus	1	n
Burkholderia_cenocepacia_58253	Burkholderia cenocepacia S2AES	1165868.3	1	14	Burkholderia	Burkholderia cenocepacia	1	n
Burkholderia_multivorans_56971	Burkholderia multivorans ATCC 17616 (Prj:19401)	395019.7	1	8	Burkholderia	Burkholderia multivorans	1	n
Burkholderia_pseudomallei_54177	Burkholderia pseudomallei BPC006	1229785.3	1	159	Burkholderia	Burkholderia pseudomallei	1	n
Campylobacter_coli_58237	Campylobacter coli LMG 23344	887306.3	1	53	Campylobacter	Campylobacter coli	1	n
Campylobacter_fetus_53261	Campylobacter fetus subsp. venerealis B6	1167638.3	1	8	Campylobacter	Campylobacter fetus subsp. venerealis	1	n
Campylobacter_jejuni_57666	Campylobacter jejuni X	1381117.3	1	113	Campylobacter	Campylobacter jejuni	1	n
Chlamydophila_pneumoniae_54194	Chlamydophila pneumoniae AR39	115711.10	1	5	Chlamydia	Chlamydia pneumoniae	1	n
Clostridium_botulinum_57664	Clostridium botulinum CDC54088	1435052.3	1	26	Clostridium	Clostridium botulinum	1	p
Clostridium_perfringens_56840	Clostridium perfringens ATCC 13124	195103.10	1	12	Clostridium	Clostridium perfringens	1	p
Clostridium_tetani_58149	Clostridium tetani ATCC 19406	1513.25	1	8	Clostridium	Clostridium tetani	1	p
Coxiella_burnetii_53221	Coxiella burnetii RSA 493	227377.7	1	11	Coxiella	Coxiella burnetii	1	n
Ehrlichia_chaffeensis_52119	Ehrlichia chaffeensis str. Heartland	1249651.3	1	8	Ehrlichia	Ehrlichia chaffeensis	1	n
Escherichia_coli_58110	Escherichia coli O157:H43 str. T22	1137135.3	1	2754	Escherichia	Escherichia coli	1	n
Escherichia_fergusonii_56914	Escherichia fergusonii ECD227	981367.3	1	3	Escherichia	Escherichia fergusonii	1	n
Francisella_tularensis_57093	Francisella tularensis subsp. tularensis FSC198	393115.11	1	49	Francisella	Francisella tularensis subsp. tularensis	1	n
Helicobacter_bilis_58212	Helicobacter bilis ATCC 51630	37372.4	1	7	Helicobacter	Helicobacter bilis	1	n
Helicobacter_canadensis_34147	Helicobacter canadensis MIT 98-5491	537970.13	1	2	Helicobacter	Helicobacter canadensis	1	n
Helicobacter_fennelliae_60112	Helicobacter fennelliae MRY12-0050	1325130.3	1	1	Helicobacter	Helicobacter fennelliae	1	n
Helicobacter_pullorum_61742	Helicobacter pullorum MIT 98-5489	537972.5	1	1	Helicobacter	Helicobacter pullorum	1	n
Helicobacter_pylori_58188	Helicobacter pylori wls-5-1	1451267.3	1	79	Helicobacter	Helicobacter pylori	1	n
Listeria_monocytogenes_56580	Listeria monocytogenes N53-1	1234142.3	1	48	Listeria	Listeria monocytogenes	1	p
Mycobacterium_avium_56142	Mycobacterium avium subsp. paratuberculosis Pt146	1029818.3	1	38	Mycobacterium	Mycobacterium avium subsp. paratuberculosis	1	OM+
Mycobacterium_intracellulare_57056	Mycobacterium intracellulare M.i.198	1214063.3	1	12	Mycobacterium	Mycobacterium intracellulare	1	OM+
Mycobacterium_marinum_56420	Mycobacterium sp. 012931	1187065.3	1	7	Mycobacterium	Mycobacterium sp. 012931	1	OM+
Mycobacterium_tuberculosis_57144	Mycobacterium colombiense CECT 3035	1041522.3	1	2	Mycobacterium	Mycobacterium colombiense	1	OM+
Mycobacterium_tuberculosis_57439	Mycobacterium tuberculosis PanR0208	1344047.3	1	2196	Mycobacterium	Mycobacterium tuberculosis	1	OM+
Pseudomonas_aeruginosa_57148	Pseudomonas aeruginosa AZPAE15040	287.878	1	674	Pseudomonas	Pseudomonas aeruginosa	1	n
Pseudomonas_brassicacearum_57978	Pseudomonas fluorescens Q8r1-96	1038923.3	1	8	Pseudomonas	Pseudomonas fluorescens	1	n
Rickettsia_prowazekii_51996	Rickettsia prowazekii str. BuV67-CWPP	1105096.3	1	12	Rickettsia	Rickettsia prowazekii	1	n
Rickettsia_rickettsii_57256	Rickettsia slovaca 13-B	941638.3	1	34	Rickettsia	Rickettsia slovaca	1	n
Salmonella_enterica_58156	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120528	1412537.3	1	918	Salmonella	Salmonella enterica subsp. enterica	1	n
Staphylococcus_aureus_56630	Staphylococcus aureus subsp. aureus IS-122	904783.3	1	4138	Staphylococcus	Staphylococcus aureus subsp. aureus	1	p
Streptococcus_agalactiae_55593	Streptococcus agalactiae A909	205921.4	1	291	Streptococcus	Streptococcus agalactiae	1	p
Streptococcus_pneumoniae_57684	Streptococcus pneumoniae SMRU2224	1313.10903	1	3362	Streptococcus	Streptococcus pneumoniae	1	p
Streptococcus_pyogenes_56747	Streptococcus pyogenes M1 476	1207470.4	1	228	Streptococcus	Streptococcus pyogenes	1	p
Vibrio_cholerae_57327	Vibrio cholerae O1 str. 2010EL-1786	914149.18	1	207	Vibrio	Vibrio cholerae	1	n
Vibrio_harveyi_55946	Vibrio sp. HENC-01	992010.3	1	8	Vibrio	Vibrio sp. HENC-01	1	n
Vibrio_mimicus_57727	Vibrio mimicus CAIM 1882	1400797.3	1	8	Vibrio	Vibrio mimicus	1	n
Vibrio_owensii_57591	Vibrio owensii LMG 25430	1280004.3	1	11	Vibrio	Vibrio owensii	1	n
Vibrio_parahaemolyticus_57034	Vibrio parahaemolyticus S078	670.114	1	221	Vibrio	Vibrio parahaemolyticus	1	n
Yersinia_enterocolitica_60538	Yersinia enterocolitica LC20	1443113.3	1	1	Yersinia	Yersinia enterocolitica	1	n
Yersinia_kristensenii_61733	Yersinia kristensenii ATCC 33638	527012.3	1	1	Yersinia	Yersinia kristensenii	1	n
Yersinia_pestis_56773	Yersinia pestis biovar Orientalis str. AS200901434	1084233.3	1	132	Yersinia	Yersinia pestis subsp. pestis	1	n
